Location ID,Country,Country description,Country ID,Forecast Type,Geo Latitude,Geo Longitude,Holding Cost Percentage,Intl/Dom Ind,Location Business Partner ID,Location,Location Region,Location Type,Location Validity,Order Timing,Replaced by Customer,Sales Area,Sales Divison,Sales Domain,Sales Region,Sales Region Code,State,State description,Demand State,Supplying Location
0000431651,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431656,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431657,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431658,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431659,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431660,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431661,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431662,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431663,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431664,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILTARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431665,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431666,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431667,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431668,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431669,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431670,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431671,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431672,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431673,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431737,US,USA,,S,,,,D,,GALLO WINE SALES,NJ,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,NJ,New Jersey,NJ,8009
0000431821,US,USA,,S,,,,D,,SOUTHERN GLAZER S WINE   SPIRITS,WA,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,WA,Washington,WA,8009
0000431854,0000206011,MALAYSIA,,S,,,,I,,MAGNUM WINES,,DIST,,SI,,Asia Area,Intl87  A O Asia Div,International,Intl5 Asia Region,84,,,,1159
0000431967,US,USA,,S,,,,D,,TASTING ROOM TR4   CASH,CA,DIST,,SI,,Corporate Area,Corp Tasting Room Division,Corporate,Corp Corporate Region,64,CA,California,NorCAL,8009
